temp,prec,wind,demand,j
10.2,2.71,3.49,94,7
10.2,2.71,3.49,105,3
10.2,2.71,3.49,112,4
10.2,2.71,3.49,117,10
10.2,2.71,3.49,126,2
10.2,2.71,3.49,142,6
10.2,2.71,3.49,144,1
10.2,2.71,3.49,149,5
10.2,2.71,3.49,174,8
10.2,2.71,3.49,177,9
10.2,11.11,3.87,92,7
10.2,11.11,3.87,99,3
10.2,11.11,3.87,99,4
10.2,11.11,3.87,114,10
10.2,11.11,3.87,117,2
10.2,11.11,3.87,134,6
10.2,11.11,3.87,137,1
10.2,11.11,3.87,144,5
10.2,11.11,3.87,162,8
10.2,11.11,3.87,174,9
10.4,5.53,2.27,102,7
10.4,5.53,2.27,110,4
10.4,5.53,2.27,113,3
10.4,5.53,2.27,121,10
10.4,5.53,2.27,126,2
10.4,5.53,2.27,144,6
10.4,5.53,2.27,152,1
10.4,5.53,2.27,162,5
10.4,5.53,2.27,180,8
10.4,5.53,2.27,187,9
10.4,51.8,0.17,77,7
10.4,51.8,0.17,88,3
10.4,51.8,0.17,88,4
10.4,51.8,0.17,107,10
10.4,51.8,0.17,110,2
10.4,51.8,0.17,120,6
10.4,51.8,0.17,129,1
10.4,51.8,0.17,134,5
10.4,51.8,0.17,148,8
10.4,51.8,0.17,154,9
10.5,0.4,2.05,99,7
10.5,0.4,2.05,113,3
10.5,0.4,2.05,120,4
10.5,0.4,2.05,123,10
10.5,0.4,2.05,131,2
10.5,0.4,2.05,149,6
10.5,0.4,2.05,154,1
10.5,0.4,2.05,160,5
10.5,0.4,2.05,183,8
10.5,0.4,2.05,201,9
10.6,11.22,1.58,94,7
10.6,11.22,1.58,111,3
10.6,11.22,1.58,112,4
10.6,11.22,1.58,122,2
10.6,11.22,1.58,124,10
10.6,11.22,1.58,148,6
10.6,11.22,1.58,151,1
10.6,11.22,1.58,152,5
10.6,11.22,1.58,177,8
10.6,11.22,1.58,184,9
10.8,41.36,4.46,75,7
10.8,41.36,4.46,76,3
10.8,41.36,4.46,82,4
10.8,41.36,4.46,88,10
10.8,41.36,4.46,90,2
10.8,41.36,4.46,109,6
10.8,41.36,4.46,115,1
10.8,41.36,4.46,118,5
10.8,41.36,4.46,136,8
